snapshot_date,rank,code,name,weight_pct,shares,unit
20260730,1,2330,台積電,9.5,90000,股
20260730,2,3017,奇鋐,8.69,86000,股
20260730,3,2383,台光電,7.02,34000,股
20260730,4,3037,欣興,6.51,190000,股
20260730,5,6223,旺矽,6.2,27000,股
20260730,6,3443,創意,5.63,34000,股
20260730,7,2454,聯發科,4.96,32000,股
20260730,8,3665,貿聯 -KY,4.57,50000,股
20260730,9,2408,南亞科,3.77,240000,股
20260730,10,8046,南電,3.65,91000,股
20260730,11,6274,台燿,3.63,75000,股
20260730,12,6139,亞翔,2.95,96000,股
20260730,13,3653,健策,2.7,18000,股
20260730,14,7769,鴻勁,2.69,10000,股
20260730,15,2455,全新,2.61,205000,股
20260730,16,2345,智邦,2.59,28000,股
20260730,17,6683,雍智科技,2.1,52000,股
20260730,18,4764,雙鍵,1.94,171000,股
20260730,19,3363,上詮,1.94,92729,股
20260730,20,8028,昇陽半導體,1.92,176000,股
20260730,21,8358,金居,1.48,114000,股
20260730,22,6739,竹陞科技,0.74,20000,股
20260730,23,3081,聯亞,0.34,4800,股
20260730,24,5274,信驊,0.19,300,股
