snapshot_date,rank,code,name,weight_pct,shares,unit
20260910,1,2330,台積電,8.67,90000,股
20260910,2,3017,奇鋐,7.07,52000,股
20260910,3,3037,欣興,6.48,166000,股
20260910,4,2383,台光電,6.13,29000,股
20260910,5,2454,聯發科,5.94,32000,股
20260910,6,3443,創意,4.89,20000,股
20260910,7,6223,旺矽,4.42,20000,股
20260910,8,2455,全新,4.29,205000,股
20260910,9,6274,台燿,4.11,75000,股
20260910,10,3653,健策,4.1,18000,股
20260910,11,3081,聯亞,3.31,29800,股
20260910,12,6510,精測,3.17,22000,股
20260910,13,6805,富世達,3.1,36000,股
20260910,14,3665,貿聯 -KY,2.96,39000,股
20260910,15,8358,金居,2.74,134000,股
20260910,16,8046,南電,2.69,64000,股
20260910,17,6683,雍智科技,2.64,52000,股
20260910,18,3363,上詮,2.6,92729,股
20260910,19,6739,竹陞科技,2.59,50000,股
20260910,20,2408,南亞科,2.57,127000,股
20260910,21,6187,萬潤,2.36,47000,股
20260910,22,6515,穎崴,2.26,8000,股
20260910,23,2345,智邦,2.16,28000,股
20260910,24,3661,世芯-KY,2.07,13000,股
20260910,25,4958,臻鼎 -KY,1.94,100000,股
20260910,26,8996,高力,1.79,35000,股
20260910,27,4991,環宇 -KY,1.36,71000,股
20260910,28,5274,信驊,0.22,300,股
