snapshot_date,rank,code,name,weight_pct,shares,unit
20260908,1,2330,台積電,8.7,90000,股
20260908,2,3017,奇鋐,6.69,52000,股
20260908,3,3037,欣興,6.2,166000,股
20260908,4,2383,台光電,6.06,29000,股
20260908,5,2454,聯發科,5.9,32000,股
20260908,6,3443,創意,4.67,20000,股
20260908,7,6223,旺矽,4.54,20000,股
20260908,8,2455,全新,4.13,205000,股
20260908,9,6274,台燿,3.95,75000,股
20260908,10,3653,健策,3.91,18000,股
20260908,11,3081,聯亞,3.34,29800,股
20260908,12,6510,精測,3.12,22000,股
20260908,13,6805,富世達,3.04,36000,股
20260908,14,3665,貿聯 -KY,2.95,39000,股
20260908,15,6683,雍智科技,2.86,52000,股
20260908,16,8358,金居,2.73,134000,股
20260908,17,2408,南亞科,2.64,127000,股
20260908,18,3363,上詮,2.58,92729,股
20260908,19,8046,南電,2.57,64000,股
20260908,20,6187,萬潤,2.55,47000,股
20260908,21,6515,穎崴,2.41,8000,股
20260908,22,6739,竹陞科技,2.24,50000,股
20260908,23,2345,智邦,2.14,28000,股
20260908,24,3661,世芯-KY,2.05,13000,股
20260908,25,4958,臻鼎 -KY,1.98,100000,股
20260908,26,2308,台達電,1.98,28000,股
20260908,27,8996,高力,1.68,35000,股
20260908,28,4991,環宇 -KY,1.37,71000,股
20260908,29,5274,信驊,0.23,300,股
