snapshot_date,rank,code,name,weight_pct,shares,unit
20260715,1,2330,台積電,8.26,90000,股
20260715,2,3017,奇鋐,7.0,86000,股
20260715,3,3037,欣興,6.69,190000,股
20260715,4,2383,台光電,6.49,34000,股
20260715,5,6223,旺矽,6.43,27000,股
20260715,6,2408,南亞科,4.34,240000,股
20260715,7,6274,台燿,4.05,75000,股
20260715,8,3443,創意,3.72,24000,股
20260715,9,3665,貿聯 -KY,3.59,50000,股
20260715,10,3081,聯亞,3.48,52800,股
20260715,11,8046,南電,3.35,63000,股
20260715,12,8155,博智,3.33,262000,股
20260715,13,2327,國巨,3.33,111000,股
20260715,14,6139,亞翔,3.23,96000,股
20260715,15,6488,環球晶,3.06,55000,股
20260715,16,3167,大量,2.95,88000,股
20260715,17,6683,雍智科技,2.87,52000,股
20260715,18,2345,智邦,2.46,28000,股
20260715,19,2455,全新,2.43,205000,股
20260715,20,2454,聯發科,2.39,17000,股
20260715,21,4764,雙鍵,2.34,171000,股
20260715,22,3653,健策,2.22,18000,股
20260715,23,8028,昇陽半導體,2.11,176000,股
20260715,24,3363,上詮,2.08,92729,股
20260715,25,8358,金居,1.98,114000,股
20260715,26,6271,同欣電,1.79,213000,股
20260715,27,6515,穎崴,1.36,5000,股
20260715,28,5274,信驊,0.16,300,股
