snapshot_date,rank,code,name,weight_pct,shares,unit
20260616,1,2330,台積電,9.87,11960000,股
20260616,2,2383,台光電,7.9,4486000,股
20260616,3,2454,聯發科,7.62,4861000,股
20260616,4,2327,國巨*,7.45,22792000,股
20260616,5,2345,智邦,5.49,6334000,股
20260616,6,6223,旺矽,5.05,2279000,股
20260616,7,2308,台達電,5.04,6572000,股
20260616,8,3017,奇鋐,4.23,5191000,股
20260616,9,3037,欣興,4.21,12466000,股
20260616,10,6669,緯穎,4.18,2492000,股
20260616,11,2368,金像電,3.85,8315000,股
20260616,12,2303,聯電,3.75,77390000,股
20260616,13,3711,日月光投控,3.65,17948000,股
20260616,14,3665,貿聯-KY,3.52,4833848,股
20260616,15,8046,南電,3.36,10828000,股
20260616,16,3653,健策,2.95,2267000,股
20260616,17,5274,信驊,2.64,422000,股
20260616,18,6274,台燿,2.64,4763000,股
20260616,19,6515,穎崴,1.51,442000,股
20260616,20,6510,精測,1.12,930000,股
20260616,21,6805,富世達,1.07,1811000,股
20260616,22,8210,勤誠,1.05,2267000,股
20260616,23,2317,鴻海,0.68,7307000,股
20260616,24,3533,嘉澤,0.67,852000,股
20260616,25,6187,萬潤,0.52,1334000,股
20260616,26,8996,高力,0.49,1034000,股
20260616,27,6147,頎邦,0.46,5875000,股
20260616,28,3443,創意,0.44,258000,股
20260616,29,5439,高技,0.39,3528000,股
20260616,30,8150,南茂,0.38,11635000,股
20260616,31,4966,譜瑞-KY,0.37,1642000,股
20260616,32,2449,京元電子,0.35,3645000,股
20260616,33,4958,臻鼎-KY,0.31,1428000,股
20260616,34,6278,台表科,0.31,4334000,股
20260616,35,1590,亞德客-KY,0.24,530000,股
20260616,36,8358,金居,0.21,980000,股
20260616,37,6191,精成科,0.14,3988000,股
20260616,38,6488,環球晶,0.13,350000,股
20260616,39,3376,新日興,0.12,1741000,股
20260616,40,6271,同欣電,0.11,1466000,股
20260616,41,2002,中鋼,0.03,5163000,股
20260616,42,2313,華通,0.03,329000,股
20260616,43,1815,富喬,0.0,107000,股
20260616,44,2382,廣達,0.0,1000,股
20260616,45,2481,強茂,0.0,5000,股
20260616,46,3008,大立光,0.0,1000,股
20260616,47,2439,美律,0.0,18000,股
20260616,48,3264,欣銓,0.0,1000,股
20260616,49,3661,世芯-KY,0.0,1000,股
20260616,50,5347,世界,0.0,1000,股
