snapshot_date,rank,code,name,weight_pct,shares,unit
20260609,1,2330,台積電,9.63,11960000,股
20260609,2,2383,台光電,7.94,4486000,股
20260609,3,2454,聯發科,7.27,4649000,股
20260609,4,2308,台達電,5.55,6572000,股
20260609,5,2345,智邦,5.48,6334000,股
20260609,6,2327,國巨*,5.29,18313000,股
20260609,7,3017,奇鋐,4.62,5191000,股
20260609,8,6669,緯穎,4.62,2492000,股
20260609,9,6223,旺矽,4.46,2169000,股
20260609,10,2368,金像電,4.34,8315000,股
20260609,11,3037,欣興,4.22,12466000,股
20260609,12,3711,日月光投控,3.57,17948000,股
20260609,13,3665,貿聯-KY,3.54,4703848,股
20260609,14,8046,南電,3.46,10828000,股
20260609,15,2303,聯電,3.28,73690000,股
20260609,16,3653,健策,3.12,2267000,股
20260609,17,5274,信驊,2.63,422000,股
20260609,18,6274,台燿,2.62,4643000,股
20260609,20,6515,穎崴,1.33,442000,股
20260609,21,6805,富世達,1.2,1761000,股
20260609,22,8210,勤誠,1.2,2267000,股
20260609,23,6510,精測,1.1,930000,股
20260609,24,2317,鴻海,0.71,7307000,股
20260609,25,3533,嘉澤,0.7,852000,股
20260609,26,6187,萬潤,0.53,1334000,股
20260609,27,6147,頎邦,0.51,5775000,股
20260609,28,2404,漢唐,0.5,1200000,股
20260609,29,8996,高力,0.48,1034000,股
20260609,30,5439,高技,0.45,3528000,股
20260609,31,4966,譜瑞-KY,0.4,1642000,股
20260609,32,8150,南茂,0.39,11635000,股
20260609,33,2449,京元電子,0.37,3645000,股
20260609,34,6278,台表科,0.26,3734000,股
20260609,35,3443,創意,0.25,167000,股
20260609,36,1590,亞德客-KY,0.24,530000,股
20260609,37,8358,金居,0.21,980000,股
20260609,38,M_NTD,MARGIN,0.17,500128241,元
20260609,39,6191,精成科,0.14,3988000,股
20260609,40,3376,新日興,0.14,1741000,股
20260609,41,2382,廣達,0.06,422000,股
20260609,42,6271,同欣電,0.06,686000,股
20260609,43,2002,中鋼,0.03,5163000,股
20260609,44,2313,華通,0.03,329000,股
20260609,45,1319,東陽,0.02,511000,股
20260609,46,1815,富喬,0.0,107000,股
20260609,47,2439,美律,0.0,18000,股
20260609,48,3661,世芯-KY,0.0,1000,股
20260609,49,3264,欣銓,0.0,1000,股
20260609,50,2481,強茂,0.0,5000,股
20260609,51,3008,大立光,0.0,1000,股
20260609,52,5347,世界,0.0,1000,股
20260609,53,PFUR_NTD,PAYABLES FOR UNITS REDEEMED,-0.01,-31149152,元
20260609,54,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,-0.46,-1329352813,元
