snapshot_date,rank,code,name,weight_pct,shares,unit
20260715,1,2330,台積電,8.27,1406000,股
20260715,2,2383,台光電,6.89,563000,股
20260715,3,2059,川湖,6.0,293000,股
20260715,4,2345,智邦,5.51,977000,股
20260715,5,3017,奇鋐,5.23,1002000,股
20260715,6,6223,旺矽,4.97,326000,股
20260715,7,3037,欣興,4.73,2097000,股
20260715,8,8996,高力,4.65,1630000,股
20260715,9,3665,貿聯-KY,4.4,955000,股
20260715,10,3008,大立光,4.09,420000,股
20260715,11,2327,國巨*,3.97,2066000,股
20260715,12,2454,聯發科,3.66,406000,股
20260715,13,6584,南俊國際,3.58,2231000,股
20260715,14,6187,萬潤,3.18,1220000,股
20260715,15,2303,聯電,2.8,7000000,股
20260715,16,3711,日月光投控,2.68,1629000,股
20260715,17,8299,群聯,2.26,445000,股
20260715,18,3443,創意,2.09,211000,股
20260715,19,2455,全新,2.09,2753000,股
20260715,20,6182,合晶,1.95,4500000,股
20260715,21,3661,世芯-KY,1.94,215000,股
20260715,22,8021,尖點,1.92,1501000,股
20260715,23,3026,禾伸堂,1.84,909000,股
20260715,24,6515,穎崴,1.73,99000,股
20260715,25,6488,環球晶,1.41,394000,股
20260715,26,3583,辛耘,1.15,566000,股
20260715,27,7751,竑騰,0.93,318000,股
20260715,28,3189,景碩,0.9,440013,股
20260715,29,6139,亞翔,0.54,250000,股
20260715,30,2337,旺宏,0.48,1343000,股
20260715,31,3363,上詮,0.43,300000,股
20260715,32,7734,印能科技,0.41,56000,股
20260715,33,6805,富世達,0.37,109000,股
20260715,34,5289,宜鼎,0.35,98000,股
20260715,35,3260,威剛,0.35,358000,股
20260715,36,3264,欣銓,0.04,72000,股
20260715,37,3491,昇達科,0.0,1000,股
