snapshot_date,rank,code,name,weight_pct,shares,unit
20260828,1,2059,川湖,8.42,260000,股
20260828,2,3017,奇鋐,7.62,1001000,股
20260828,3,2330,台積電,7.16,1306000,股
20260828,4,3037,欣興,6.24,2482000,股
20260828,5,3665,貿聯-KY,5.94,1161000,股
20260828,6,2383,台光電,5.78,465000,股
20260828,7,3008,大立光,5.49,343000,股
20260828,8,2345,智邦,5.17,1074000,股
20260828,9,8996,高力,4.67,1630000,股
20260828,10,6584,南俊國際,3.45,2231000,股
20260828,11,1815,富喬,3.09,10877000,股
20260828,12,6223,旺矽,3.05,268000,股
20260828,13,3231,緯創,2.92,7245000,股
20260828,14,8021,尖點,2.76,2682000,股
20260828,15,1303,南亞,2.72,5445000,股
20260828,16,2455,全新,2.71,2753000,股
20260828,17,2454,聯發科,2.4,266000,股
20260828,18,3443,創意,2.23,164000,股
20260828,19,3661,世芯-KY,1.98,215000,股
20260828,20,3189,景碩,1.72,844013,股
20260828,21,2308,台達電,1.58,382000,股
20260828,22,6669,緯穎,1.26,77000,股
20260828,23,4958,臻鼎-KY,1.09,1000000,股
20260828,24,3711,日月光投控,1.01,716000,股
20260828,25,8046,南電,0.84,300000,股
20260828,26,6213,聯茂,0.49,373000,股
20260828,27,3081,聯亞,0.47,63000,股
20260828,28,2301,光寶科,0.47,659000,股
20260828,29,3026,禾伸堂,0.44,261000,股
20260828,30,6139,亞翔,0.44,250000,股
20260828,31,3653,健策,0.43,33000,股
20260828,32,2357,華碩,0.43,196000,股
20260828,33,6187,萬潤,0.41,134000,股
20260828,34,2376,技嘉,0.4,508000,股
20260828,35,8150,南茂,0.4,1957000,股
20260828,36,5274,信驊,0.39,11000,股
20260828,37,2404,漢唐,0.38,155000,股
20260828,38,6274,台燿,0.38,113000,股
20260828,39,2360,致茂,0.35,76000,股
20260828,40,5289,宜鼎,0.33,99952,股
20260828,41,5347,世界,0.22,629000,股
