snapshot_date,rank,code,name,weight_pct,shares,unit
20260814,1,2059,川湖,8.34,293000,股
20260814,2,2330,台積電,7.67,1406000,股
20260814,3,3017,奇鋐,7.38,1002000,股
20260814,4,2383,台光電,6.54,466000,股
20260814,5,3665,貿聯-KY,5.82,1161000,股
20260814,6,3037,欣興,5.8,2497000,股
20260814,7,2345,智邦,5.66,1080000,股
20260814,8,8996,高力,4.75,1630000,股
20260814,9,3008,大立光,4.41,420000,股
20260814,10,2454,聯發科,3.89,406000,股
20260814,11,6223,旺矽,3.86,263000,股
20260814,12,3231,緯創,3.38,7662000,股
20260814,13,6584,南俊國際,3.07,2231000,股
20260814,14,2308,台達電,2.71,632000,股
20260814,15,8021,尖點,2.65,2682000,股
20260814,16,1303,南亞,2.57,5445000,股
20260814,17,2455,全新,2.38,2753000,股
20260814,18,3711,日月光投控,2.29,1629000,股
20260814,19,1815,富喬,2.27,10877000,股
20260814,20,3661,世芯-KY,2.06,215000,股
20260814,21,3443,創意,1.99,160000,股
20260814,22,3189,景碩,1.65,840013,股
20260814,23,6669,緯穎,1.13,77000,股
20260814,24,4958,臻鼎-KY,1.11,1000000,股
20260814,25,8046,南電,0.89,300000,股
20260814,26,6515,穎崴,0.65,42000,股
20260814,27,7751,竑騰,0.49,149000,股
20260814,28,6139,亞翔,0.45,250000,股
20260814,29,6805,富世達,0.45,109000,股
20260814,30,2337,旺宏,0.42,1343000,股
20260814,31,7734,印能科技,0.39,56000,股
20260814,32,5289,宜鼎,0.33,98000,股
20260814,33,3260,威剛,0.33,358000,股
20260814,34,3583,辛耘,0.24,147000,股
20260814,35,5347,世界,0.23,629000,股
20260814,36,3264,欣銓,0.04,72000,股
