snapshot_date,rank,code,name,weight_pct,shares,unit
20260707,1,2330,台積電,8.27,1406000,股
20260707,2,2383,台光電,7.09,563000,股
20260707,3,3017,奇鋐,5.96,1009000,股
20260707,4,2059,川湖,5.84,293000,股
20260707,5,2345,智邦,5.78,977000,股
20260707,6,8996,高力,5.25,1630000,股
20260707,7,6223,旺矽,4.96,326000,股
20260707,8,3665,貿聯-KY,4.56,955000,股
20260707,9,3037,欣興,4.25,2097000,股
20260707,10,2454,聯發科,3.95,406000,股
20260707,11,3008,大立光,3.94,420000,股
20260707,12,6584,南俊國際,3.57,2231000,股
20260707,13,2327,國巨*,3.42,1566000,股
20260707,14,3443,創意,3.36,311000,股
20260707,15,6187,萬潤,2.87,1220000,股
20260707,16,2303,聯電,2.62,7000000,股
20260707,17,3711,日月光投控,2.56,1629000,股
20260707,18,6515,穎崴,2.32,120000,股
20260707,19,8299,群聯,2.3,445000,股
20260707,20,2455,全新,2.11,2753000,股
20260707,21,3661,世芯-KY,2.09,215000,股
20260707,22,8021,尖點,1.8,1501000,股
20260707,23,6182,合晶,1.58,4500000,股
20260707,24,7751,竑騰,1.22,372000,股
20260707,25,6488,環球晶,1.14,394000,股
20260707,26,3583,辛耘,1.1,566000,股
20260707,27,3189,景碩,0.73,440013,股
20260707,28,6139,亞翔,0.53,250000,股
20260707,29,2337,旺宏,0.45,1343000,股
20260707,30,3363,上詮,0.42,300000,股
20260707,31,6805,富世達,0.39,109000,股
20260707,32,5289,宜鼎,0.38,98000,股
20260707,33,7734,印能科技,0.37,56000,股
20260707,34,3260,威剛,0.35,358000,股
20260707,35,3264,欣銓,0.04,72000,股
20260707,36,3491,昇達科,0.0,1000,股
