snapshot_date,rank,code,name,weight_pct,shares,unit
20260703,1,2330,台積電,7.72,1406000,股
20260703,2,2383,台光電,7.68,563000,股
20260703,3,3017,奇鋐,6.25,1009000,股
20260703,4,2345,智邦,6.0,977000,股
20260703,5,6223,旺矽,5.4,326000,股
20260703,6,2059,川湖,5.26,293000,股
20260703,7,8996,高力,5.05,1630000,股
20260703,8,3037,欣興,4.56,2097000,股
20260703,9,3665,貿聯-KY,4.28,955000,股
20260703,10,3008,大立光,3.99,420000,股
20260703,11,2454,聯發科,3.82,406000,股
20260703,12,2327,國巨*,3.67,1566000,股
20260703,13,6584,南俊國際,3.54,2231000,股
20260703,14,3443,創意,3.52,311000,股
20260703,15,6187,萬潤,2.82,1220000,股
20260703,16,2303,聯電,2.68,7000000,股
20260703,17,6515,穎崴,2.67,120000,股
20260703,18,3711,日月光投控,2.49,1629000,股
20260703,19,8299,群聯,2.29,445000,股
20260703,20,3661,世芯-KY,2.24,215000,股
20260703,21,2455,全新,2.21,2753000,股
20260703,22,8021,尖點,1.88,1501000,股
20260703,23,6182,合晶,1.65,4500000,股
20260703,24,7751,竑騰,1.2,372000,股
20260703,25,3583,辛耘,1.08,566000,股
20260703,26,3189,景碩,0.82,440013,股
20260703,27,6139,亞翔,0.53,250000,股
20260703,28,2337,旺宏,0.43,1343000,股
20260703,29,6805,富世達,0.4,109000,股
20260703,30,7734,印能科技,0.4,56000,股
20260703,31,3363,上詮,0.39,300000,股
20260703,32,5289,宜鼎,0.36,98000,股
20260703,33,3260,威剛,0.33,358000,股
20260703,34,3264,欣銓,0.04,72000,股
20260703,35,3491,昇達科,0.0,1000,股
