snapshot_date,rank,code,name,weight_pct,shares,unit
20260910,1,LITE US,LUMENTUM HOLDINGS INC,7.18,87599,股
20260910,2,MU US,MICRON TECHNOLOGY INC,4.02,46965,股
20260910,3,NVDA US,NVIDIA CORP,3.77,197000,股
20260910,4,SMTC US,SEMTECH CORP,3.38,242500,股
20260910,5,META US,META PLATFORMS INC-CLASS A,3.31,58680,股
20260910,6,BE US,BLOOM ENERGY CORP- A,3.28,144800,股
20260910,7,2454,聯發科,3.19,243000,股
20260910,8,SNOW US,SNOWFLAKE INC,3.17,109800,股
20260910,9,2383,台光電,3.16,212000,股
20260910,10,AMD US,ADVANCED MICRO DEVICES,3.11,70579,股
20260910,11,MSFT US,MICROSOFT CORP,3.07,71120,股
20260910,12,2330,台積電,2.76,406000,股
20260910,13,PLTR US,PALANTIR TECHNOLOGIES INC-A,2.72,187342,股
20260910,14,SPCX US,SPACE EXPLORATION TECHN-CL A,2.54,195500,股
20260910,15,MRVL US,MARVELL TECHNOLOGY INC,2.53,127400,股
20260910,16,INTC US,INTEL CORP,2.52,287200,股
20260910,17,SNDK US,SANDISK CORP,2.39,16143,股
20260910,18,HOOD US,ROBINHOOD MARKETS INC - A,2.34,235555,股
20260910,19,285A JP,KIOXIA HOLDINGS CORP,2.29,68900,股
20260910,20,2308,台達電,2.05,441000,股
20260910,21,6981 JP,MURATA MANUFACTURING CO LTD,2.05,477100,股
20260910,22,TSEM US,TOWER SEMICONDUCTOR LTD,2.03,111100,股
20260910,23,3037,欣興,1.98,716000,股
20260910,24,000660 KP,SK HYNIX INC,1.97,16304,股
20260910,25,009150 KP,SAMSUNG ELECTRO-MECHANICS CO,1.71,18688,股
20260910,26,6857 JP,ADVANTEST CORP,1.71,88100,股
20260910,27,DELL US,DELL TECHNOLOGIES -C,1.61,36300,股
20260910,28,4062 JP,IBIDEN CO LTD,1.55,130900,股
20260910,29,3017,奇鋐,1.52,158000,股
20260910,30,PANW US,PALO ALTO NETWORKS INC,1.42,47955,股
20260910,31,6223,旺矽,1.4,90000,股
20260910,32,KGC US,KINROSS GOLD CORP,1.37,539200,股
20260910,33,2449,京元電子,1.26,1665000,股
20260910,34,NTRA US,NATERA INC,1.25,43700,股
20260910,35,AMZN US,AMAZON.COM INC,1.06,48000,股
20260910,36,WDC US,WESTERN DIGITAL CORP,0.96,23862,股
20260910,37,2345,智邦,0.94,172000,股
20260910,38,6274,台燿,0.91,236000,股
20260910,39,8046,南電,0.9,302000,股
20260910,40,3529,力旺,0.8,106000,股
20260910,41,2360,致茂,0.79,130000,股
20260910,42,NET US,CLOUDFLARE INC - CLASS A,0.76,27700,股
20260910,43,FSLY US,FASTLY INC - CLASS A,0.76,384100,股
20260910,44,GOOGL US,ALPHABET INC-CL A,0.74,25400,股
20260910,45,7769,鴻勁,0.74,41000,股
20260910,46,TWST US,TWIST BIOSCIENCE CORP,0.62,55700,股
20260910,47,3665,貿聯-KY,0.5,94000,股
20260910,48,NOK US,NOKIA CORP-SPON ADR,0.5,540500,股
