snapshot_date,rank,code,name,weight_pct,shares,unit
20260810,1,LITE US,LUMENTUM HOLDINGS INC,6.79,101272,股
20260810,2,MSFT US,MICROSOFT CORP,4.75,113798,股
20260810,3,AMAT US,APPLIED MATERIALS INC,4.08,94706,股
20260810,4,2330,台積電,3.51,576000,股
20260810,5,MU US,MICRON TECHNOLOGY INC,3.3,46405,股
20260810,6,SNOW US,SNOWFLAKE INC,3.18,115200,股
20260810,7,BE US,BLOOM ENERGY CORP- A,3.01,173500,股
20260810,8,3037,欣興,2.91,1146000,股
20260810,9,DELL US,DELL TECHNOLOGIES -C,2.84,75300,股
20260810,10,AMD US,ADVANCED MICRO DEVICES,2.82,72879,股
20260810,11,009150 KP,SAMSUNG ELECTRO-MECHANICS CO,2.68,36111,股
20260810,12,PANW US,PALO ALTO NETWORKS INC,2.68,84400,股
20260810,13,2454,聯發科,2.48,245000,股
20260810,14,2383,台光電,2.45,181000,股
20260810,15,TSEM US,TOWER SEMICONDUCTOR LTD,2.41,115500,股
20260810,16,MRVL US,MARVELL TECHNOLOGY INC,2.25,131000,股
20260810,17,285A JP,KIOXIA HOLDINGS CORP,2.25,90100,股
20260810,18,CRDO US,CREDO TECHNOLOGY GROUP HOLDI,2.25,113500,股
20260810,19,SHOP US,SHOPIFY INC - CLASS A,2.16,168500,股
20260810,20,COHR US,COHERENT CORP,2.06,76979,股
20260810,21,2308,台達電,2.05,441000,股
20260810,22,IFX GR,INFINEON TECHNOLOGIES AG,1.98,332843,股
20260810,23,DDOG US,DATADOG INC - CLASS A,1.95,90800,股
20260810,24,WDC US,WESTERN DIGITAL CORP,1.78,49262,股
20260810,25,SNDK US,SANDISK CORP,1.74,17063,股
20260810,26,5801 JP,FURUKAWA ELECTRIC CO LTD,1.67,811800,股
20260810,27,6723 JP,RENESAS ELECTRONICS CORP,1.67,837700,股
20260810,28,6981 JP,MURATA MANUFACTURING CO LTD,1.63,427700,股
20260810,29,NVDA US,NVIDIA CORP,1.58,87900,股
20260810,30,6857 JP,ADVANTEST CORP,1.57,88100,股
20260810,31,SMTC US,SEMTECH CORP,1.29,118700,股
20260810,32,6223,旺矽,1.2,75000,股
20260810,33,AXTI US,AXT INC,1.13,185020,股
20260810,34,NET US,CLOUDFLARE INC - CLASS A,1.06,41300,股
20260810,35,WDAY US,WORKDAY INC-CLASS A,1.04,68200,股
20260810,36,NOW US,SERVICENOW INC,1.03,98200,股
20260810,37,3711,日月光投控,1.03,641000,股
20260810,38,AVGO US,BROADCOM INC,1.02,29320,股
20260810,39,U US,UNITY SOFTWARE INC,1.01,285200,股
20260810,40,RBRK US,RUBRIK INC-A,0.99,122500,股
20260810,41,6274,台燿,0.95,255000,股
20260810,42,LRCX US,LAM RESEARCH CORP,0.94,37200,股
20260810,43,TER US,TERADYNE INC,0.91,30320,股
20260810,44,3665,貿聯-KY,0.9,160000,股
20260810,45,ALAB US,ASTERA LABS INC,0.89,34000,股
20260810,46,2303,聯電,0.82,2612000,股
20260810,47,2449,京元電子,0.64,1008000,股
20260810,48,PLTR US,PALANTIR TECHNOLOGIES INC-A,0.61,41926,股
20260810,49,AEHR US,AEHR TEST SYSTEMS,0.52,59400,股
