snapshot_date,rank,code,name,weight_pct,shares,unit
20260909,1,LITE US,LUMENTUM HOLDINGS INC,7.43,87599,股
20260909,2,NVDA US,NVIDIA CORP,4.78,249100,股
20260909,3,MU US,MICRON TECHNOLOGY INC,3.64,41325,股
20260909,4,SMTC US,SEMTECH CORP,3.41,242500,股
20260909,5,BE US,BLOOM ENERGY CORP- A,3.34,144800,股
20260909,6,AMD US,ADVANCED MICRO DEVICES,3.15,70579,股
20260909,7,SNOW US,SNOWFLAKE INC,3.12,109800,股
20260909,8,2383,台光電,3.1,212000,股
20260909,9,2454,聯發科,3.06,243000,股
20260909,10,MSFT US,MICROSOFT CORP,3.0,71120,股
20260909,11,META US,META PLATFORMS INC-CLASS A,2.79,49800,股
20260909,12,2330,台積電,2.73,406000,股
20260909,13,PLTR US,PALANTIR TECHNOLOGIES INC-A,2.72,187342,股
20260909,14,INTC US,INTEL CORP,2.62,287200,股
20260909,15,SPCX US,SPACE EXPLORATION TECHN-CL A,2.47,195500,股
20260909,16,SNDK US,SANDISK CORP,2.44,16143,股
20260909,17,AMZN US,AMAZON.COM INC,2.34,108000,股
20260909,18,HOOD US,ROBINHOOD MARKETS INC - A,2.33,235555,股
20260909,19,285A JP,KIOXIA HOLDINGS CORP,2.2,68900,股
20260909,20,2308,台達電,2.16,441000,股
20260909,21,MRVL US,MARVELL TECHNOLOGY INC,2.07,102700,股
20260909,22,TSEM US,TOWER SEMICONDUCTOR LTD,2.06,111100,股
20260909,23,3037,欣興,1.94,716000,股
20260909,24,6981 JP,MURATA MANUFACTURING CO LTD,1.9,477100,股
20260909,25,PANW US,PALO ALTO NETWORKS INC,1.88,65355,股
20260909,26,GOOGL US,ALPHABET INC-CL A,1.72,60640,股
20260909,27,009150 KP,SAMSUNG ELECTRO-MECHANICS CO,1.69,18688,股
20260909,28,DELL US,DELL TECHNOLOGIES -C,1.67,36300,股
20260909,29,6857 JP,ADVANTEST CORP,1.62,88100,股
20260909,30,4062 JP,IBIDEN CO LTD,1.57,130900,股
20260909,31,3017,奇鋐,1.46,158000,股
20260909,32,KGC US,KINROSS GOLD CORP,1.4,539200,股
20260909,33,6223,旺矽,1.38,90000,股
20260909,34,NTRA US,NATERA INC,1.24,43700,股
20260909,35,2449,京元電子,1.22,1665000,股
20260909,36,000660 KP,SK HYNIX INC,0.99,8301,股
20260909,37,WDC US,WESTERN DIGITAL CORP,0.99,23862,股
20260909,38,2345,智邦,0.94,172000,股
20260909,39,8046,南電,0.91,302000,股
20260909,40,6274,台燿,0.86,236000,股
20260909,41,2360,致茂,0.83,130000,股
20260909,42,7769,鴻勁,0.75,41000,股
20260909,43,TWST US,TWIST BIOSCIENCE CORP,0.6,55700,股
20260909,44,3529,力旺,0.55,73000,股
20260909,45,3665,貿聯-KY,0.51,94000,股
