snapshot_date,rank,code,name,weight_pct,shares,unit
20260709,1,2330,台灣積體,12.5,3900000,股
20260709,2,2327,國巨股份,8.24,6900000,股
20260709,3,2383,台光電子,8.15,1160000,股
20260709,4,2408,南亞科技,5.49,9500000,股
20260709,5,6223,旺矽科技,4.98,530000,股
20260709,6,2454,聯發科技,4.95,950000,股
20260709,7,3037,欣興電子,4.65,4000000,股
20260709,8,8299,群聯電子,4.42,1500000,股
20260709,9,8046,南亞電路,4.19,2600000,股
20260709,10,6274,台燿科技,4.17,2000000,股
20260709,11,2345,智邦科技,3.8,1160000,股
20260709,12,2059,川湖科技,3.61,330000,股
20260709,13,3189,景碩科技,2.95,2800000,股
20260709,14,2303,聯華電子,2.9,14000000,股
20260709,15,3711,日月光投,2.88,3200000,股
20260709,16,3026,禾伸堂企,2.67,2000000,股
20260709,17,7769,鴻勁精密,2.65,300000,股
20260709,18,DA_NTD,AFTER DEDUCTING SECURITIES PURCHASES AMOUNT,2.47,1861398311,元
20260709,19,6669,緯穎科技,2.34,350000,股
20260709,20,6515,穎崴科技,2.27,220000,股
20260709,21,2492,華新科技,2.22,3600000,股
20260709,22,3017,奇鋐科技,2.06,660000,股
20260709,23,5274,信驊科技,1.82,100500,股
20260709,24,2344,華邦電子,1.12,4800000,股
20260709,25,2404,漢唐集成,1.05,650000,股
20260709,26,3665,貿聯-KY,0.64,260000,股
20260709,27,2308,台達電子,0.02,9000,股
20260709,28,2368,金像電子,0.01,9000,股
20260709,29,4958,臻鼎-KY,0.01,9000,股
20260709,30,5347,世界先進,0.0,9000,股
20260709,31,6510,中華精測,0.0,1000,股
20260709,32,8210,勤誠興業,0.0,1000,股
20260709,33,8996,高力熱處,0.0,1000,股
20260709,34,2382,廣達電腦,0.0,9000,股
20260709,35,2360,致茂電子,0.0,1000,股
20260709,36,2449,京元電子,0.0,9000,股
20260709,37,2313,華通電腦,0.0,9000,股
20260709,38,2317,鴻海精密,0.0,9000,股
20260709,39,1519,華城電機,0.0,1000,股
20260709,40,2337,旺宏電子,0.0,9000,股
20260709,41,3036,文曄科技,0.0,1000,股
20260709,42,3231,緯創資通,0.0,9000,股
20260709,43,3653,健策精密,0.0,1000,股
20260709,44,3042,台灣晶技,0.0,9000,股
20260709,45,3044,健鼎科技,0.0,1000,股
20260709,46,2603,長榮海運,0.0,9000,股
20260709,47,2881,富邦金融,0.0,9000,股
20260709,48,2882,國泰金融,0.0,9000,股
20260709,49,2883,凱基金融,0.0,9000,股
20260709,50,2885,元大金融,0.0,9000,股
20260709,51,2891,中國信託,0.0,9000,股
20260709,52,PB_NTD,PAYABLES,-0.03,-23753400,元
