snapshot_date,rank,code,name,weight_pct,shares,unit
20260901,1,LITE US,LUMENTUM HOLDINGS INC,6.2,117000,股
20260901,2,3037,欣興,4.86,2600000,股
20260901,3,2383,台光電,4.56,420000,股
20260901,4,009150 KS,Samsung Electro-Mechanics co(009150 ks),4.36,70000,股
20260901,5,6981 JP,MURATA MANUFACTURING CO LTD,3.75,1350000,股
20260901,6,AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),3.64,130000,股
20260901,7,MU US,MICRON TECHNOLOGY INC,3.42,60000,股
20260901,8,PANW US,PALO ALTO NETWORKS INC,3.31,150000,股
20260901,9,BE US,BLOOM ENERGY CORP- A,3.26,250000,股
20260901,10,STX US,SEAGATE TECHNOLOGY,2.99,60000,股
20260901,11,CRDO US,CREDO TECHNOLOGY GROUP HOLDI,2.84,225000,股
20260901,12,TSEM US,TOWER SEMICONDUCTOR LTD,2.63,216825,股
20260901,13,CRCL US,CIRCLE INTERNET GROUP INC,2.62,480000,股
20260901,14,SPCX US,SPACE EXPLORATION TECHN-CL A,2.6,300000,股
20260901,15,2308,台達電,2.59,720000,股
20260901,16,2330,台積電,2.58,550000,股
20260901,17,SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),2.54,130000,股
20260901,18,6223,旺矽,2.52,242000,股
20260901,19,PLTR US,PALANTIR TECHNOLOGIES INC-A,2.47,225000,股
20260901,20,3017,奇鋐,2.4,365000,股
20260901,21,285A JP,KIOXIA HOLDINGS CORP,2.14,110000,股
20260901,22,MSFT US,MICROSOFT CORP(微軟公司),2.02,66000,股
20260901,23,NOW US,SERVICENOW INC,2.0,230000,股
20260901,24,300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1.73,1749879,股
20260901,25,IFX GY,INFINEON TECHNOLOGIES AG,1.67,425000,股
20260901,26,2454,聯發科,1.66,200000,股
20260901,27,COHR US,COHERENT INC,1.58,95000,股
20260901,28,6997 JP,NIPPON CHEMI-CON CORP,1.43,1275100,股
20260901,29,4979,華星光,1.43,1235000,股
20260901,30,3308 HK,ZHONGJI INNOLIGHT CO LTD-H,1.37,170000,股
20260901,31,MPWR US,MONOLITHIC POWER SYSTEMS INC,1.35,18000,股
20260901,32,NET US,CLOUDFLARE INC - CLASS A,1.22,70000,股
20260901,33,SNDK US,SANDISK CORP,1.22,13000,股
20260901,34,TER US,TERADYNE INC,1.13,55000,股
20260901,35,000660 KS,SK HYNIX INC,1.1,15000,股
20260901,36,301377 CH,GUANGDONG DTECH TECHNOLOGY-A,1.03,291988,股
20260901,37,FORM US,FORMFACTOR INC,0.88,150454,股
20260901,38,6871 JP,MICRONICS JAPAN CO LTD,0.87,185000,股
20260901,39,TWLO US,TWILIO INC - A,0.77,55000,股
20260901,40,HOOD US,ROBINHOOD MARKETS INC - A,0.76,120000,股
20260901,41,5801 JP,FURUKAWA ELECTRIC CO LTD,0.74,500000,股
20260901,42,AEM US,AGNICO EAGLE MINES LTD,0.71,60000,股
20260901,43,DASH US,DOORDASH INC - A,0.69,50000,股
20260901,44,4180 JP,APPIER GROUP INC,0.51,950000,股
20260901,45,AIXA GY,AIXTRON SE,0.5,200000,股
20260901,46,NTRA US,NATERA INC,0.49,25000,股
20260901,47,6274,台燿,0.36,130000,股
20260901,48,095340 KS,ISC CO LTD,0.08,11006,股
