snapshot_date,rank,code,name,weight_pct,shares,unit
20260821,1,LITE US,LUMENTUM HOLDINGS INC,5.89,117000,股
20260821,2,3037,欣興,5.14,2600000,股
20260821,3,2383,台光電,4.6,445000,股
20260821,4,MU US,MICRON TECHNOLOGY INC,3.93,70000,股
20260821,5,009150 KS,Samsung Electro-Mechanics co(009150 ks),3.86,70000,股
20260821,6,285A JP,KIOXIA HOLDINGS CORP,3.57,180000,股
20260821,7,AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),3.57,130000,股
20260821,8,6981 JP,MURATA MANUFACTURING CO LTD,3.5,1350000,股
20260821,9,PANW US,PALO ALTO NETWORKS INC,3.12,150000,股
20260821,10,CRDO US,CREDO TECHNOLOGY GROUP HOLDI,3.01,225000,股
20260821,11,STX US,SEAGATE TECHNOLOGY,2.96,60000,股
20260821,12,2330,台積電,2.85,650000,股
20260821,13,MRVL US,MARVELL TECHNOLOGY INC,2.82,205000,股
20260821,14,TSEM US,TOWER SEMICONDUCTOR LTD,2.8,216825,股
20260821,15,SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),2.51,130000,股
20260821,16,BE US,BLOOM ENERGY CORP- A,2.46,210000,股
20260821,17,6223,旺矽,2.41,242000,股
20260821,18,SPCX US,SPACE EXPLORATION TECHN-CL A,2.39,300000,股
20260821,19,2308,台達電,2.3,720000,股
20260821,20,2454,聯發科,2.07,300000,股
20260821,21,CRCL US,CIRCLE INTERNET GROUP INC,2.04,400000,股
20260821,22,SNDK US,SANDISK CORP,1.95,21000,股
20260821,23,PLTR US,PALANTIR TECHNOLOGIES INC-A,1.88,180000,股
20260821,24,6871 JP,MICRONICS JAPAN CO LTD,1.85,370000,股
20260821,25,300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1.72,1749879,股
20260821,26,IFX GY,INFINEON TECHNOLOGIES AG,1.62,425000,股
20260821,27,COHR US,COHERENT INC,1.6,95000,股
20260821,28,2327,國巨*,1.56,1550000,股
20260821,29,3017,奇鋐,1.44,275000,股
20260821,30,MPWR US,MONOLITHIC POWER SYSTEMS INC,1.38,18000,股
20260821,31,6997 JP,NIPPON CHEMI-CON CORP,1.28,1275100,股
20260821,32,TER US,TERADYNE INC,1.2,55000,股
20260821,33,000660 KS,SK HYNIX INC,1.11,15000,股
20260821,34,3711,日月光投控,1.07,1000000,股
20260821,35,WDC US,WESTERN DIGITAL CORP,1.07,40000,股
20260821,36,301377 CH,GUANGDONG DTECH TECHNOLOGY-A,1.05,291988,股
20260821,37,FORM US,FORMFACTOR INC,1.0,150454,股
20260821,38,3308 HK,ZHONGJI INNOLIGHT CO LTD-H,0.93,110000,股
20260821,39,NET US,CLOUDFLARE INC - CLASS A,0.77,45000,股
20260821,40,AEM US,AGNICO EAGLE MINES LTD,0.75,60000,股
20260821,41,TWLO US,TWILIO INC - A,0.72,55000,股
20260821,42,5801 JP,FURUKAWA ELECTRIC CO LTD,0.7,500000,股
20260821,43,AIXA GY,AIXTRON SE,0.51,200000,股
20260821,44,4979,華星光,0.47,450000,股
20260821,45,4180 JP,APPIER GROUP INC,0.45,950000,股
20260821,46,AEHR US,AEHR TEST SYSTEMS,0.41,70000,股
20260821,47,095340 KS,ISC CO LTD,0.33,50000,股
