snapshot_date,rank,code,name,weight_pct,shares,unit
20260907,1,2330,台積電,15.47,10100000,股
20260907,2,3017,奇鋐,6.71,3150000,股
20260907,3,2454,聯發科,6.55,2210000,股
20260907,4,2383,台光電,5.47,1600000,股
20260907,5,3037,欣興,5.0,8460000,股
20260907,6,2303,聯電,4.9,55000000,股
20260907,7,3653,健策,3.93,1115000,股
20260907,8,6223,旺矽,3.76,1100000,股
20260907,9,6669,緯穎,3.24,2087956,股
20260907,10,2308,台達電,3.17,2750000,股
20260907,11,2345,智邦,3.02,2307000,股
20260907,12,2327,國巨*,2.93,8000000,股
20260907,13,3008,大立光,2.84,686000,股
20260907,14,5274,信驊,2.52,210500,股
20260907,15,3443,創意,2.14,580000,股
20260907,16,1303,南亞,1.94,13500000,股
20260907,17,8046,南電,1.73,2640000,股
20260907,18,3189,景碩,1.72,3400000,股
20260907,19,6488,環球晶,1.69,2800000,股
20260907,20,3665,貿聯-KY,1.67,1293000,股
20260907,21,6274,台燿,1.62,1900000,股
20260907,22,3711,日月光投控,1.55,4000000,股
20260907,23,2360,致茂,1.39,1000000,股
20260907,24,8996,高力,1.22,1580000,股
20260907,25,6239,力成,0.93,5360000,股
20260907,26,6805,富世達,0.92,650000,股
20260907,27,7769,鴻勁,0.53,130000,股
20260907,28,2317,鴻海,0.51,3200000,股
20260907,29,3211,順達,0.48,2000000,股
20260907,30,2449,京元電子,0.44,2600000,股
20260907,31,3450,聯鈞,0.4,1100000,股
20260907,32,6442,光聖,0.37,350000,股
20260907,33,3583,辛耘,0.36,800000,股
20260907,34,2481,強茂,0.3,3000000,股
20260907,35,2059,川湖,0.3,35000,股
20260907,36,2882,國泰金,0.29,4000000,股
20260907,37,3533,嘉澤,0.26,250000,股
20260907,38,2404,漢唐,0.17,250000,股
20260907,39,2344,華邦電,0.17,1500000,股
20260907,40,8358,金居,0.13,400000,股
20260907,41,2455,全新,0.12,386000,股
20260907,42,3264,欣銓,0.1,700000,股
20260907,43,1560,中砂,0.09,191000,股
20260907,44,2337,旺宏,0.08,1000000,股
20260907,45,1717,長興,0.07,1500000,股
20260907,46,2301,光寶科,0.06,300000,股
20260907,47,6285,啟碁,0.05,350000,股
20260907,48,8299,群聯,0.0,1000,股
20260907,49,2049,上銀,0.0,1000,股
20260907,50,6196,帆宣,0.0,1000,股
