snapshot_date,rank,code,name,weight_pct,shares,unit
20260730,1,2330,台積電,17.4,12000000,股
20260730,2,2303,聯電,5.5,76000000,股
20260730,3,3017,奇鋐,4.79,3450000,股
20260730,4,2383,台光電,3.99,1405000,股
20260730,5,2454,聯發科,3.82,1795000,股
20260730,6,3037,欣興,3.58,7600000,股
20260730,7,6223,旺矽,3.16,1000000,股
20260730,8,2344,華邦電,3.12,40000000,股
20260730,9,2308,台達電,3.06,3040000,股
20260730,10,2345,智邦,2.91,2290000,股
20260730,11,3711,日月光投控,2.13,6400000,股
20260730,12,3653,健策,2.04,990000,股
20260730,13,6669,緯穎,1.93,600000,股
20260730,14,2327,國巨*,1.8,6000000,股
20260730,15,4958,臻鼎-KY,1.52,6154000,股
20260730,16,3533,嘉澤,1.38,1240000,股
20260730,17,5274,信驊,1.25,144500,股
20260730,18,3189,景碩,1.22,3217000,股
20260730,19,6488,環球晶,1.2,2350000,股
20260730,20,3443,創意,1.16,510000,股
20260730,21,6274,台燿,1.12,1680000,股
20260730,22,7769,鴻勁,1.11,300000,股
20260730,23,3665,貿聯-KY,1.11,880000,股
20260730,24,2360,致茂,1.06,840000,股
20260730,25,8046,南電,0.96,1750000,股
20260730,26,8996,高力,0.82,1600000,股
20260730,27,6805,富世達,0.57,700000,股
20260730,28,2317,鴻海,0.48,3200000,股
20260730,29,2337,旺宏,0.45,7498000,股
20260730,30,1303,南亞,0.44,4587000,股
20260730,31,1560,中砂,0.38,1000000,股
20260730,32,3211,順達,0.38,2000000,股
20260730,33,6239,力成,0.37,2600000,股
20260730,34,3583,辛耘,0.35,900000,股
20260730,35,3008,大立光,0.34,140000,股
20260730,36,6515,穎崴,0.31,89000,股
20260730,37,4966,譜瑞-KY,0.28,800000,股
20260730,38,8358,金居,0.23,1312000,股
20260730,39,2368,金像電,0.2,420000,股
20260730,40,2049,上銀,0.19,1010000,股
20260730,41,6442,光聖,0.16,225000,股
20260730,42,6415,矽力*-KY,0.15,624000,股
20260730,43,2404,漢唐,0.12,180000,股
20260730,44,3450,聯鈞,0.07,300000,股
20260730,45,3264,欣銓,0.07,700000,股
20260730,46,2455,全新,0.06,336000,股
20260730,47,6285,啟碁,0.03,250000,股
20260730,48,8299,群聯,0.0,1000,股
20260730,49,5347,世界,0.0,1000,股
20260730,50,6196,帆宣,0.0,1000,股
