snapshot_date,rank,code,name,weight_pct,shares,unit
20260827,1,2330,台積電,17.19,12000000,股
20260827,2,3017,奇鋐,6.25,3150000,股
20260827,3,3037,欣興,5.93,8460000,股
20260827,4,2383,台光電,5.23,1600000,股
20260827,5,2454,聯發科,4.85,2110000,股
20260827,6,3653,健策,3.65,1087000,股
20260827,7,2303,聯電,3.52,50000000,股
20260827,8,6223,旺矽,3.33,1100000,股
20260827,9,2327,國巨*,3.23,9785000,股
20260827,10,2308,台達電,3.03,2880000,股
20260827,11,3008,大立光,2.88,700000,股
20260827,12,2345,智邦,2.87,2307000,股
20260827,13,6669,緯穎,2.67,660000,股
20260827,14,3711,日月光投控,2.52,7000000,股
20260827,15,3189,景碩,2.47,4550000,股
20260827,16,3443,創意,2.19,621000,股
20260827,17,8046,南電,2.03,2640000,股
20260827,18,2344,華邦電,1.66,15000000,股
20260827,19,5274,信驊,1.63,179500,股
20260827,20,6274,台燿,1.63,1900000,股
20260827,21,6488,環球晶,1.59,2800000,股
20260827,22,3665,貿聯-KY,1.47,1200000,股
20260827,23,1303,南亞,1.4,10378000,股
20260827,24,8996,高力,1.35,1737000,股
20260827,25,6805,富世達,1.24,936000,股
20260827,26,2360,致茂,1.18,1000000,股
20260827,27,6239,力成,0.88,5360000,股
20260827,28,7769,鴻勁,0.49,130000,股
20260827,29,2317,鴻海,0.48,3200000,股
20260827,30,3211,順達,0.47,2000000,股
20260827,31,3583,辛耘,0.36,800000,股
20260827,32,2337,旺宏,0.34,4500000,股
20260827,33,2059,川湖,0.3,35000,股
20260827,34,3533,嘉澤,0.24,250000,股
20260827,35,8358,金居,0.23,800000,股
20260827,36,6442,光聖,0.21,225000,股
20260827,37,2404,漢唐,0.16,250000,股
20260827,38,3450,聯鈞,0.14,400000,股
20260827,39,1560,中砂,0.12,300000,股
20260827,40,1717,長興,0.11,2500000,股
20260827,41,3264,欣銓,0.09,700000,股
20260827,42,4966,譜瑞-KY,0.08,220000,股
20260827,43,6285,啟碁,0.05,350000,股
20260827,44,2455,全新,0.05,200000,股
20260827,45,2481,強茂,0.0,1000,股
20260827,46,2049,上銀,0.0,1000,股
20260827,47,5347,世界,0.0,1000,股
20260827,48,6196,帆宣,0.0,1000,股
20260827,49,4958,臻鼎-KY,0.0,1000,股
20260827,50,8299,群聯,0.0,1000,股
