snapshot_date,rank,code,name,weight_pct,shares,unit
20260624,1,2330,台積電,17.78,12900000,股
20260624,2,2303,聯電,7.66,74600000,股
20260624,3,2327,國巨*,6.08,10050000,股
20260624,4,3037,欣興,4.81,8960000,股
20260624,5,3017,奇鋐,4.74,3250000,股
20260624,6,2344,華邦電,4.59,38800000,股
20260624,7,2383,台光電,4.33,1350000,股
20260624,8,6223,旺矽,3.89,940000,股
20260624,9,2454,聯發科,3.55,1435000,股
20260624,10,2368,金像電,3.04,4200000,股
20260624,11,2345,智邦,2.88,2100000,股
20260624,12,2308,台達電,2.8,2430000,股
20260624,13,4958,臻鼎-KY,2.18,6440000,股
20260624,14,6669,緯穎,2.1,790000,股
20260624,15,3653,健策,1.74,830000,股
20260624,16,6274,台燿,1.73,1700000,股
20260624,17,3711,日月光投控,1.69,4500000,股
20260624,18,2337,旺宏,1.62,16350000,股
20260624,19,3533,嘉澤,1.6,1240000,股
20260624,20,8996,高力,1.3,1560000,股
20260624,21,3443,創意,1.21,430000,股
20260624,22,5347,世界,1.14,9911000,股
20260624,23,6488,環球晶,1.11,2000000,股
20260624,24,6515,穎崴,1.1,200000,股
20260624,25,7769,鴻勁,1.09,279000,股
20260624,26,6147,頎邦,0.86,6000000,股
20260624,27,3189,景碩,0.77,1800000,股
20260624,28,8358,金居,0.72,1950000,股
20260624,29,3529,力旺,0.71,390000,股
20260624,30,1303,南亞,0.68,7550000,股
20260624,31,6442,光聖,0.64,570000,股
20260624,32,6805,富世達,0.59,570000,股
20260624,33,3665,貿聯-KY,0.58,500000,股
20260624,34,2360,致茂,0.56,450000,股
20260624,35,5274,信驊,0.48,45000,股
20260624,36,2317,鴻海,0.47,3200000,股
20260624,37,3583,辛耘,0.45,900000,股
20260624,38,8046,南電,0.44,795000,股
20260624,39,3211,順達,0.38,1560000,股
20260624,40,1560,中砂,0.35,800000,股
20260624,41,4966,譜瑞-KY,0.34,900000,股
20260624,42,6196,帆宣,0.31,1000000,股
20260624,43,6415,矽力*-KY,0.31,900000,股
20260624,44,3081,聯亞,0.2,160000,股
20260624,45,2049,上銀,0.19,1010000,股
20260624,46,4979,華星光,0.17,600000,股
20260624,47,2455,全新,0.1,450000,股
20260624,48,3105,穩懋,0.0,1000,股
20260624,49,8210,勤誠,0.0,1000,股
20260624,50,8299,群聯,0.0,1000,股
