snapshot_date,rank,code,name,weight_pct,shares,unit
20260529,1,2330,台積電,17.19,14200000,股
20260529,2,2303,聯電,5.92,79700000,股
20260529,3,3037,欣興,4.86,8960000,股
20260529,4,3017,奇鋐,4.45,3250000,股
20260529,5,3711,日月光投控,3.8,12101000,股
20260529,6,C_NTD,CASH,3.68,7163859727,元
20260529,7,2383,台光電,3.55,1350000,股
20260529,8,2327,國巨*,3.32,8760000,股
20260529,9,2368,金像電,3.19,4700000,股
20260529,10,2308,台達電,2.83,2250000,股
20260529,11,2344,華邦電,2.68,33000000,股
20260529,12,2345,智邦,2.44,1950000,股
20260529,13,2454,聯發科,2.22,1000000,股
20260529,14,6669,緯穎,2.21,790000,股
20260529,15,6223,旺矽,2.01,655000,股
20260529,16,3533,嘉澤,1.58,1160000,股
20260529,17,8046,南電,1.55,3550000,股
20260529,18,8299,群聯,1.54,1163000,股
20260529,19,4958,臻鼎-KY,1.45,5492000,股
20260529,20,3653,健策,1.4,770000,股
20260529,21,3665,貿聯-KY,1.38,1285000,股
20260529,22,2337,旺宏,1.31,15350000,股
20260529,23,7769,鴻勁,1.18,279000,股
20260529,24,2360,致茂,1.09,840000,股
20260529,25,3443,創意,0.96,400000,股
20260529,26,3081,聯亞,0.91,680000,股
20260529,27,6274,台燿,0.89,1020000,股
20260529,28,5274,信驊,0.88,90000,股
20260529,29,5347,世界,0.86,9911000,股
20260529,30,6147,頎邦,0.79,5000000,股
20260529,31,6442,光聖,0.79,830000,股
20260529,32,6488,環球晶,0.78,1497000,股
20260529,33,6515,穎崴,0.74,165000,股
20260529,34,3529,力旺,0.68,390000,股
20260529,35,8996,高力,0.66,1169000,股
20260529,36,3044,健鼎,0.62,2300000,股
20260529,37,6805,富世達,0.57,570000,股
20260529,38,8358,金居,0.53,1710000,股
20260529,39,3189,景碩,0.52,1380000,股
20260529,40,8210,勤誠,0.48,680000,股
20260529,41,3583,辛耘,0.4,900000,股
20260529,42,4979,華星光,0.38,1200000,股
20260529,43,4966,譜瑞-KY,0.34,784000,股
20260529,44,3105,穩懋,0.26,957000,股
20260529,45,6196,帆宣,0.23,870000,股
20260529,46,3036,文曄,0.22,1500000,股
20260529,47,2481,強茂,0.21,2510000,股
20260529,48,2049,上銀,0.2,1010000,股
20260529,49,2455,全新,0.1,450000,股
20260529,50,1560,中砂,0.03,78000,股
20260529,51,2313,華通,0.0,1000,股
20260529,52,M_NTD,MARGIN,0.0,0,元
20260529,53,PFUR_NTD,PAYABLES FOR UNITS REDEEMED,-0.41,-788301934,元
20260529,54,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,-1.34,-2614854721,元
